name , min price , max price , avg price
गोलभेडा ठूलो(नेपाली) ,50.00,60.00,56.67
गोलभेडा ठूलो(भारतीय) ,50.00,60.00,56.67
गोलभेडा सानो(लोकल) ,45.00,50.00,47.50
गोलभेडा सानो(टनेल) ,50.00,55.00,52.50
गोलभेडा सानो(भारतीय) ,40.00,45.00,42.50
गोलभेडा सानो(तराई) ,55.00,60.00,58.33
आलु रातो ,24.00,25.00,24.50
आलु रातो(भारतीय) ,20.00,22.00,21.00
आलु सेतो ,17.00,18.00,17.67
प्याज सुकेको (भारतीय) ,35.00,36.00,35.60
गाजर(लोकल) ,25.00,35.00,30.00
गाजर(तराई) ,20.00,30.00,25.00
बन्दा(लोकल) ,12.00,16.00,14.00
बन्दा(तराई) ,12.00,16.00,14.50
बन्दा(नरिवल) ,14.00,18.00,15.75
काउली स्थानिय ,50.00,60.00,55.00
स्थानीय काउली(ज्यापु) ,60.00,70.00,65.00
मूला रातो ,60.00,70.00,65.00
मूला सेतो(लोकल) ,25.00,30.00,27.50
सेतो मूला(हाइब्रीड) ,40.00,50.00,45.00
भन्टा लाम्चो ,50.00,60.00,56.67
भन्टा डल्लो ,50.00,60.00,56.67
बोडी(तने) ,110.00,120.00,115.00
मकै बोडी ,140.00,150.00,146.67
मटरकोशा ,60.00,70.00,65.00
घिउ सिमी(लोकल) ,50.00,60.00,56.67
घिउ सिमी(हाइब्रीड) ,70.00,80.00,76.67
घिउ सिमी(राजमा) ,120.00,130.00,126.67
टाटे सिमी ,50.00,60.00,56.00
तितो करेला ,110.00,120.00,115.00
लौका ,50.00,60.00,55.00
परवर(तराई) ,70.00,80.00,75.00
घिरौला ,110.00,120.00,116.67
फर्सी पाकेको ,40.00,50.00,45.00
फर्सी हरियो(लाम्चो) ,50.00,60.00,56.67
हरियो फर्सी(डल्लो) ,50.00,60.00,56.67
सलगम ,60.00,70.00,66.67
भिण्डी ,100.00,120.00,112.50
सखरखण्ड ,70.00,80.00,76.67
बरेला ,60.00,70.00,63.33
पिंडालू ,50.00,60.00,56.67
स्कूस ,40.00,50.00,45.00
रायो साग ,60.00,70.00,66.67
पालूगो साग ,90.00,100.00,96.67
चमसूरको साग ,100.00,110.00,106.67
तोरीको साग ,40.00,50.00,45.00
मेथीको साग ,90.00,100.00,96.67
प्याज हरियो ,40.00,50.00,46.67
बकूला ,60.00,70.00,66.67
तरुल ,70.00,80.00,76.67
च्याउ(कन्य) ,150.00,180.00,163.33
च्याउ(डल्ले) ,300.00,350.00,325.00
कुरीलो ,500.00,60.00,550.00
न्यूरो ,90.00,100.00,96.67
ब्रोकाउली ,90.00,100.00,96.67
चुकुन्दर ,70.00,80.00,76.67
सजिवन ,100.00,150.00,125.00
कोइरालो ,150.00,200.00,176.67
रातो बन्दा ,70.00,80.00,75.00
जिरीको साग ,50.00,60.00,56.67
ग्याठ कोबी ,60.00,70.00,66.67
सेलरी ,120.00,150.00,135.00
पार्सले ,250.00,300.00,275.00
सौफको साग ,90.00,100.00,96.67
पुदीना ,250.00,300.00,275.00
गान्टे मूला ,70.00,80.00,75.00
इमली ,150.00,160.00,156.67
तामा ,90.00,100.00,96.67
तोफु ,120.00,130.00,126.67
गुन्दुक ,250.00,300.00,275.00
स्याउ(झोले) ,200.00,220.00,213.33
स्याउ(फूजी) ,250.00,300.00,275.00
केरा ,150.00,160.00,155.00
कागती ,250.00,300.00,276.67
अनार ,250.00,300.00,275.00
अंगुर(हरियो) ,120.00,150.00,136.67
अंगुर(कालो) ,200.00,220.00,210.00
सुन्तला(भारतीय) ,120.00,150.00,135.00
तरबुजा(हरियो) ,35.00,45.00,40.00
मौसम ,150.00,180.00,165.00
जुनार ,220.00,250.00,235.00
भुई कटहर ,180.00,200.00,190.00
काक्रो(लोकल) ,50.00,60.00,56.00
काक्रो(हाइब्रीड) ,20.00,25.00,22.50
रुख कटहर ,80.00,90.00,86.67
नासपाती(चाइनिज) ,220.00,250.00,235.00
मेवा(नेपाली) ,70.00,80.00,76.67
मेवा(भारतीय) ,90.00,100.00,96.67
अम्बा ,200.00,220.00,210.00
उखु ,120.00,130.00,125.00
किनु ,120.00,150.00,135.00
स्ट्रबेरी भुईऐसेलु ,300.00,400.00,350.00
किवि ,400.00,500.00,450.00
आभोकाडो ,500.00,60.00,550.00
अमला ,80.00,90.00,85.00
अदुवा ,100.00,120.00,110.00
खु्र्सानी सुकेको ,420.00,460.00,440.00
खु्र्सानी हरियो ,80.00,90.00,86.67
खुर्सानी हरियो(बुलेट) ,80.00,90.00,86.67
खुर्सानी हरियो(माछे) ,70.00,80.00,76.67
खुर्सानी हरियो(अकबरे) ,250.00,300.00,275.00
भेडे खु्र्सानी ,100.00,120.00,110.00
लसुन हरियो ,40.00,50.00,46.67
हरियो धनिया ,30.00,40.00,35.00
लसुन सुकेको चाइनिज ,170.00,180.00,176.67
छ्यापी सुकेको ,300.00,350.00,325.00
छ्यापी हरियो ,90.00,100.00,95.00
ताजा माछा(रहु) ,330.00,360.00,346.67
ताजा माछा(बचुवा) ,260.00,300.00,280.00
ताजा माछा(छडी) ,250.00,280.00,263.33
ताजा माछा(मुंगरी) ,300.00,330.00,316.67
रुख टमाटर ,140.00,160.00,150.00
