name,min price,max price,avg price
गोलभेडा ठूलो(नेपाली),रू ५०.००,रू ६०.००,रू ५६.६७
गोलभेडा ठूलो(भारतीय),रू ५०.००,रू ६०.००,रू ५६.६७
गोलभेडा सानो(लोकल),रू ४५.००,रू ५०.००,रू ४७.५०
गोलभेडा सानो(टनेल),रू ५०.००,रू ५५.००,रू ५२.५०
गोलभेडा सानो(भारतीय),रू ४०.००,रू ४५.००,रू ४२.५०
गोलभेडा सानो(तराई),रू ५५.००,रू ६०.००,रू ५८.३३
आलु रातो,रू २४.००,रू २५.००,रू २४.५०
आलु रातो(भारतीय),रू २०.००,रू २२.००,रू २१.००
आलु सेतो,रू १७.००,रू १८.००,रू १७.६७
प्याज सुकेको (भारतीय),रू ३५.००,रू ३६.००,रू ३५.६०
गाजर(लोकल),रू २५.००,रू ३५.००,रू ३०.००
गाजर(तराई),रू २०.००,रू ३०.००,रू २५.००
बन्दा(लोकल),रू १२.००,रू १६.००,रू १४.००
बन्दा(तराई),रू १२.००,रू १६.००,रू १४.५०
बन्दा(नरिवल),रू १४.००,रू १८.००,रू १५.७५
काउली स्थानिय,रू ५०.००,रू ६०.००,रू ५५.००
स्थानीय काउली(ज्यापु),रू ६०.००,रू ७०.००,रू ६५.००
मूला रातो,रू ६०.००,रू ७०.००,रू ६५.००
मूला सेतो(लोकल),रू २५.००,रू ३०.००,रू २७.५०
सेतो मूला(हाइब्रीड),रू ४०.००,रू ५०.००,रू ४५.००
भन्टा लाम्चो,रू ५०.००,रू ६०.००,रू ५६.६७
भन्टा डल्लो,रू ५०.००,रू ६०.००,रू ५६.६७
बोडी(तने),रू ११०.००,रू १२०.००,रू ११५.००
मकै बोडी,रू १४०.००,रू १५०.००,रू १४६.६७
मटरकोशा,रू ६०.००,रू ७०.००,रू ६५.००
घिउ सिमी(लोकल),रू ५०.००,रू ६०.००,रू ५६.६७
घिउ सिमी(हाइब्रीड),रू ७०.००,रू ८०.००,रू ७६.६७
घिउ सिमी(राजमा),रू १२०.००,रू १३०.००,रू १२६.६७
टाटे सिमी,रू ५०.००,रू ६०.००,रू ५६.००
तितो करेला,रू ११०.००,रू १२०.००,रू ११५.००
लौका,रू ५०.००,रू ६०.००,रू ५५.००
परवर(तराई),रू ७०.००,रू ८०.००,रू ७५.००
घिरौला,रू ११०.००,रू १२०.००,रू ११६.६७
फर्सी पाकेको,रू ४०.००,रू ५०.००,रू ४५.००
फर्सी हरियो(लाम्चो),रू ५०.००,रू ६०.००,रू ५६.६७
हरियो फर्सी(डल्लो),रू ५०.००,रू ६०.००,रू ५६.६७
सलगम,रू ६०.००,रू ७०.००,रू ६६.६७
भिण्डी,रू १००.००,रू १२०.००,रू ११२.५०
सखरखण्ड,रू ७०.००,रू ८०.००,रू ७६.६७
बरेला,रू ६०.००,रू ७०.००,रू ६३.३३
पिंडालू,रू ५०.००,रू ६०.००,रू ५६.६७
स्कूस,रू ४०.००,रू ५०.००,रू ४५.००
रायो साग,रू ६०.००,रू ७०.००,रू ६६.६७
पालूगो साग,रू ९०.००,रू १००.००,रू ९६.६७
चमसूरको साग,रू १००.००,रू ११०.००,रू १०६.६७
तोरीको साग,रू ४०.००,रू ५०.००,रू ४५.००
मेथीको साग,रू ९०.००,रू १००.००,रू ९६.६७
प्याज हरियो,रू ४०.००,रू ५०.००,रू ४६.६७
बकूला,रू ६०.००,रू ७०.००,रू ६६.६७
तरुल,रू ७०.००,रू ८०.००,रू ७६.६७
च्याउ(कन्य),रू १५०.००,रू १८०.००,रू १६३.३३
च्याउ(डल्ले),रू ३००.००,रू ३५०.००,रू ३२५.००
कुरीलो,रू ५००.००,रू ६००.००,रू ५५०.००
न्यूरो,रू ९०.००,रू १००.००,रू ९६.६७
ब्रोकाउली,रू ९०.००,रू १००.००,रू ९६.६७
चुकुन्दर,रू ७०.००,रू ८०.००,रू ७६.६७
सजिवन,रू १००.००,रू १५०.००,रू १२५.००
कोइरालो,रू १५०.००,रू २००.००,रू १७६.६७
रातो बन्दा,रू ७०.००,रू ८०.००,रू ७५.००
जिरीको साग,रू ५०.००,रू ६०.००,रू ५६.६७
ग्याठ कोबी,रू ६०.००,रू ७०.००,रू ६६.६७
सेलरी,रू १२०.००,रू १५०.००,रू १३५.००
पार्सले,रू २५०.००,रू ३००.००,रू २७५.००
सौफको साग,रू ९०.००,रू १००.००,रू ९६.६७
पुदीना,रू २५०.००,रू ३००.००,रू २७५.००
गान्टे मूला,रू ७०.००,रू ८०.००,रू ७५.००
इमली,रू १५०.००,रू १६०.००,रू १५६.६७
तामा,रू ९०.००,रू १००.००,रू ९६.६७
तोफु,रू १२०.००,रू १३०.००,रू १२६.६७
गुन्दुक,रू २५०.००,रू ३००.००,रू २७५.००
स्याउ(झोले),रू २००.००,रू २२०.००,रू २१३.३३
स्याउ(फूजी),रू २५०.००,रू ३००.००,रू २७५.००
केरा,रू १५०.००,रू १६०.००,रू १५५.००
कागती,रू २५०.००,रू ३००.००,रू २७६.६७
अनार,रू २५०.००,रू ३००.००,रू २७५.००
अंगुर(हरियो),रू १२०.००,रू १५०.००,रू १३६.६७
अंगुर(कालो),रू २००.००,रू २२०.००,रू २१०.००
सुन्तला(भारतीय),रू १२०.००,रू १५०.००,रू १३५.००
तरबुजा(हरियो),रू ३५.००,रू ४५.००,रू ४०.००
मौसम,रू १५०.००,रू १८०.००,रू १६५.००
जुनार,रू २२०.००,रू २५०.००,रू २३५.००
भुई कटहर,रू १८०.००,रू २००.००,रू १९०.००
काक्रो(लोकल),रू ५०.००,रू ६०.००,रू ५६.००
काक्रो(हाइब्रीड),रू २०.००,रू २५.००,रू २२.५०
रुख कटहर,रू ८०.००,रू ९०.००,रू ८६.६७
नासपाती(चाइनिज),रू २२०.००,रू २५०.००,रू २३५.००
मेवा(नेपाली),रू ७०.००,रू ८०.००,रू ७६.६७
मेवा(भारतीय),रू ९०.००,रू १००.००,रू ९६.६७
अम्बा,रू २००.००,रू २२०.००,रू २१०.००
उखु,रू १२०.००,रू १३०.००,रू १२५.००
किनु,रू १२०.००,रू १५०.००,रू १३५.००
स्ट्रबेरी भुईऐसेलु,रू ३००.००,रू ४००.००,रू ३५०.००
किवि,रू ४००.००,रू ५००.००,रू ४५०.००
आभोकाडो,रू ५००.००,रू ६००.००,रू ५५०.००
अमला,रू ८०.००,रू ९०.००,रू ८५.००
अदुवा,रू १००.००,रू १२०.००,रू ११०.००
खु्र्सानी सुकेको,रू ४२०.००,रू ४६०.००,रू ४४०.००
खु्र्सानी हरियो,रू ८०.००,रू ९०.००,रू ८६.६७
खुर्सानी हरियो(बुलेट),रू ८०.००,रू ९०.००,रू ८६.६७
खुर्सानी हरियो(माछे),रू ७०.००,रू ८०.००,रू ७६.६७
खुर्सानी हरियो(अकबरे),रू २५०.००,रू ३००.००,रू २७५.००
भेडे खु्र्सानी,रू १००.००,रू १२०.००,रू ११०.००
लसुन हरियो,रू ४०.००,रू ५०.००,रू ४६.६७
हरियो धनिया,रू ३०.००,रू ४०.००,रू ३५.००
लसुन सुकेको चाइनिज,रू १७०.००,रू १८०.००,रू १७६.६७
छ्यापी सुकेको,रू ३००.००,रू ३५०.००,रू ३२५.००
छ्यापी हरियो,रू ९०.००,रू १००.००,रू ९५.००
ताजा माछा(रहु),रू ३३०.००,रू ३६०.००,रू ३४६.६७
ताजा माछा(बचुवा),रू २६०.००,रू ३००.००,रू २८०.००
ताजा माछा(छडी),रू २५०.००,रू २८०.००,रू २६३.३३
ताजा माछा(मुंगरी),रू ३००.००,रू ३३०.००,रू ३१६.६७
रुख टमाटर,रू १४०.००,रू १६०.००,रू १५०.००
