name , min price , max price , avg price
गोलभेडा ठूलो(नेपाली) ,  ५०.०० ,  ६०.०० ,  ५६.६७
गोलभेडा ठूलो(भारतीय) ,  ५०.०० ,  ६०.०० ,  ५६.६७
गोलभेडा सानो(लोकल) ,  ४५.०० ,  ५०.०० ,  ४७.५०
गोलभेडा सानो(टनेल) ,  ५०.०० ,  ५५.०० ,  ५२.५०
गोलभेडा सानो(भारतीय) ,  ४०.०० ,  ४५.०० ,  ४२.५०
गोलभेडा सानो(तराई) ,  ५५.०० ,  ६०.०० ,  ५८.३३
आलु रातो ,  २४.०० ,  २५.०० ,  २४.५०
आलु रातो(भारतीय) ,  २०.०० ,  २२.०० ,  २१.००
आलु सेतो ,  १७.०० ,  १८.०० ,  १७.६७
प्याज सुकेको (भारतीय) ,  ३५.०० ,  ३६.०० ,  ३५.६०
गाजर(लोकल) ,  २५.०० ,  ३५.०० ,  ३०.००
गाजर(तराई) ,  २०.०० ,  ३०.०० ,  २५.००
बन्दा(लोकल) ,  १२.०० ,  १६.०० ,  १४.००
बन्दा(तराई) ,  १२.०० ,  १६.०० ,  १४.५०
बन्दा(नरिवल) ,  १४.०० ,  १८.०० ,  १५.७५
काउली स्थानिय ,  ५०.०० ,  ६०.०० ,  ५५.००
स्थानीय काउली(ज्यापु) ,  ६०.०० ,  ७०.०० ,  ६५.००
मूला रातो ,  ६०.०० ,  ७०.०० ,  ६५.००
मूला सेतो(लोकल) ,  २५.०० ,  ३०.०० ,  २७.५०
सेतो मूला(हाइब्रीड) ,  ४०.०० ,  ५०.०० ,  ४५.००
भन्टा लाम्चो ,  ५०.०० ,  ६०.०० ,  ५६.६७
भन्टा डल्लो ,  ५०.०० ,  ६०.०० ,  ५६.६७
बोडी(तने) ,  ११०.०० ,  १२०.०० ,  ११५.००
मकै बोडी ,  १४०.०० ,  १५०.०० ,  १४६.६७
मटरकोशा ,  ६०.०० ,  ७०.०० ,  ६५.००
घिउ सिमी(लोकल) ,  ५०.०० ,  ६०.०० ,  ५६.६७
घिउ सिमी(हाइब्रीड) ,  ७०.०० ,  ८०.०० ,  ७६.६७
घिउ सिमी(राजमा) ,  १२०.०० ,  १३०.०० ,  १२६.६७
टाटे सिमी ,  ५०.०० ,  ६०.०० ,  ५६.००
तितो करेला ,  ११०.०० ,  १२०.०० ,  ११५.००
लौका ,  ५०.०० ,  ६०.०० ,  ५५.००
परवर(तराई) ,  ७०.०० ,  ८०.०० ,  ७५.००
घिरौला ,  ११०.०० ,  १२०.०० ,  ११६.६७
फर्सी पाकेको ,  ४०.०० ,  ५०.०० ,  ४५.००
फर्सी हरियो(लाम्चो) ,  ५०.०० ,  ६०.०० ,  ५६.६७
हरियो फर्सी(डल्लो) ,  ५०.०० ,  ६०.०० ,  ५६.६७
सलगम ,  ६०.०० ,  ७०.०० ,  ६६.६७
भिण्डी ,  १००.०० ,  १२०.०० ,  ११२.५०
सखरखण्ड ,  ७०.०० ,  ८०.०० ,  ७६.६७
बरेला ,  ६०.०० ,  ७०.०० ,  ६३.३३
पिंडालू ,  ५०.०० ,  ६०.०० ,  ५६.६७
स्कूस ,  ४०.०० ,  ५०.०० ,  ४५.००
रायो साग ,  ६०.०० ,  ७०.०० ,  ६६.६७
पालूगो साग ,  ९०.०० ,  १००.०० ,  ९६.६७
चमसूरको साग ,  १००.०० ,  ११०.०० ,  १०६.६७
तोरीको साग ,  ४०.०० ,  ५०.०० ,  ४५.००
मेथीको साग ,  ९०.०० ,  १००.०० ,  ९६.६७
प्याज हरियो ,  ४०.०० ,  ५०.०० ,  ४६.६७
बकूला ,  ६०.०० ,  ७०.०० ,  ६६.६७
तरुल ,  ७०.०० ,  ८०.०० ,  ७६.६७
च्याउ(कन्य) ,  १५०.०० ,  १८०.०० ,  १६३.३३
च्याउ(डल्ले) ,  ३००.०० ,  ३५०.०० ,  ३२५.००
कुरीलो ,  ५००.०० ,  ६००.०० ,  ५५०.००
न्यूरो ,  ९०.०० ,  १००.०० ,  ९६.६७
ब्रोकाउली ,  ९०.०० ,  १००.०० ,  ९६.६७
चुकुन्दर ,  ७०.०० ,  ८०.०० ,  ७६.६७
सजिवन ,  १००.०० ,  १५०.०० ,  १२५.००
कोइरालो ,  १५०.०० ,  २००.०० ,  १७६.६७
रातो बन्दा ,  ७०.०० ,  ८०.०० ,  ७५.००
जिरीको साग ,  ५०.०० ,  ६०.०० ,  ५६.६७
ग्याठ कोबी ,  ६०.०० ,  ७०.०० ,  ६६.६७
सेलरी ,  १२०.०० ,  १५०.०० ,  १३५.००
पार्सले ,  २५०.०० ,  ३००.०० ,  २७५.००
सौफको साग ,  ९०.०० ,  १००.०० ,  ९६.६७
पुदीना ,  २५०.०० ,  ३००.०० ,  २७५.००
गान्टे मूला ,  ७०.०० ,  ८०.०० ,  ७५.००
इमली ,  १५०.०० ,  १६०.०० ,  १५६.६७
तामा ,  ९०.०० ,  १००.०० ,  ९६.६७
तोफु ,  १२०.०० ,  १३०.०० ,  १२६.६७
गुन्दुक ,  २५०.०० ,  ३००.०० ,  २७५.००
स्याउ(झोले) ,  २००.०० ,  २२०.०० ,  २१३.३३
स्याउ(फूजी) ,  २५०.०० ,  ३००.०० ,  २७५.००
केरा ,  १५०.०० ,  १६०.०० ,  १५५.००
कागती ,  २५०.०० ,  ३००.०० ,  २७६.६७
अनार ,  २५०.०० ,  ३००.०० ,  २७५.००
अंगुर(हरियो) ,  १२०.०० ,  १५०.०० ,  १३६.६७
अंगुर(कालो) ,  २००.०० ,  २२०.०० ,  २१०.००
सुन्तला(भारतीय) ,  १२०.०० ,  १५०.०० ,  १३५.००
तरबुजा(हरियो) ,  ३५.०० ,  ४५.०० ,  ४०.००
मौसम ,  १५०.०० ,  १८०.०० ,  १६५.००
जुनार ,  २२०.०० ,  २५०.०० ,  २३५.००
भुई कटहर ,  १८०.०० ,  २००.०० ,  १९०.००
काक्रो(लोकल) ,  ५०.०० ,  ६०.०० ,  ५६.००
काक्रो(हाइब्रीड) ,  २०.०० ,  २५.०० ,  २२.५०
रुख कटहर ,  ८०.०० ,  ९०.०० ,  ८६.६७
नासपाती(चाइनिज) ,  २२०.०० ,  २५०.०० ,  २३५.००
मेवा(नेपाली) ,  ७०.०० ,  ८०.०० ,  ७६.६७
मेवा(भारतीय) ,  ९०.०० ,  १००.०० ,  ९६.६७
अम्बा ,  २००.०० ,  २२०.०० ,  २१०.००
उखु ,  १२०.०० ,  १३०.०० ,  १२५.००
किनु ,  १२०.०० ,  १५०.०० ,  १३५.००
स्ट्रबेरी भुईऐसेलु ,  ३००.०० ,  ४००.०० ,  ३५०.००
किवि ,  ४००.०० ,  ५००.०० ,  ४५०.००
आभोकाडो ,  ५००.०० ,  ६००.०० ,  ५५०.००
अमला ,  ८०.०० ,  ९०.०० ,  ८५.००
अदुवा ,  १००.०० ,  १२०.०० ,  ११०.००
खु्र्सानी सुकेको ,  ४२०.०० ,  ४६०.०० ,  ४४०.००
खु्र्सानी हरियो ,  ८०.०० ,  ९०.०० ,  ८६.६७
खुर्सानी हरियो(बुलेट) ,  ८०.०० ,  ९०.०० ,  ८६.६७
खुर्सानी हरियो(माछे) ,  ७०.०० ,  ८०.०० ,  ७६.६७
खुर्सानी हरियो(अकबरे) ,  २५०.०० ,  ३००.०० ,  २७५.००
भेडे खु्र्सानी ,  १००.०० ,  १२०.०० ,  ११०.००
लसुन हरियो ,  ४०.०० ,  ५०.०० ,  ४६.६७
हरियो धनिया ,  ३०.०० ,  ४०.०० ,  ३५.००
लसुन सुकेको चाइनिज ,  १७०.०० ,  १८०.०० ,  १७६.६७
छ्यापी सुकेको ,  ३००.०० ,  ३५०.०० ,  ३२५.००
छ्यापी हरियो ,  ९०.०० ,  १००.०० ,  ९५.००
ताजा माछा(रहु) ,  ३३०.०० ,  ३६०.०० ,  ३४६.६७
ताजा माछा(बचुवा) ,  २६०.०० ,  ३००.०० ,  २८०.००
ताजा माछा(छडी) ,  २५०.०० ,  २८०.०० ,  २६३.३३
ताजा माछा(मुंगरी) ,  ३००.०० ,  ३३०.०० ,  ३१६.६७
रुख टमाटर ,  १४०.०० ,  १६०.०० ,  १५०.००
